#ID_REF = Sample Identifier
#VALUE = z-normalized value of the raw data
*ID_REF**	VALUE*
403	-0.66685606
404	-1.501096533
405	-0.487269399
406	-1.970939915
407	-0.852363263
408	-1.115430535
409	-0.891515847
410	-0.427532784
411	-0.242448296
412	-1.850959488
413	-0.936437932
414	-1.628086648
415	-0.949707303
416	-0.815134409
417	-2.091496109
418	-1.958634345
419	-0.586903613
420	-0.997410678
421	-0.645071818
422	-0.736480204
423	1.343524971
424	0.124766043
425	0.508211686
426	-1.354797379
427	0.704077257
428	-0.576581951
429	-0.540895329
430	-0.507041478
431	-0.747253438
432	-0.641204824
433	0.061055957
434	-1.377804467
435	-0.502777801
436	-1.029809398
437	-1.350655481
438	-1.472028251
439	-2.904822739
440	-1.427665372
441	-0.699180749
442	0.059197596
443	-0.248351997
444	-0.443918
445	2.077406994
446	1.147805006
447	0.24254383
448	-1.037590139
449	-0.953044801
450	-0.766740595
451	-0.792728847
452	-0.131708751
453	-0.620900853
454	-0.699026626
455	0.041117805
456	-1.549150576
457	-1.302480836
458	-1.842122254
459	-1.845594237
460	-0.638234786
461	-1.630437508
462	-2.147101975
463	-0.32554179
464	-0.105081356
465	-0.398254487
466	-1.288589478
467	-0.169856542
468	0.312343576
469	0.488419633
470	-1.285332511
471	-0.093050848
472	-1.3693256
473	-0.713866044
474	-0.100335134
475	-0.195580221
476	-0.644793538
477	-0.144946167
478	-1.533790456
479	-0.830214087
480	-2.972682502
481	-1.479107196
482	-1.19931193
483	-2.169371194
484	-1.017729064
485	-0.381209486
486	-0.623751655
487	-0.642501759
488	-0.754916911
489	-0.33385332
490	1.118301784
491	-0.005997272
492	-0.858941318
493	-0.665849134
494	-1.254950252
495	0.13973393
496	0.074539712
497	-0.301975769
498	-0.132271217
499	0.35605888
500	-1.086787447
501	-1.52738288
502	-2.974202416
503	-0.329753314
504	-1.205497244
505	-1.775850261
506	-2.609323371
507	-0.388310833
508	0.323225804
509	-1.056669643
510	-1.454213863
511	-0.103127429
512	0.168906082
513	0.42992446
514	-0.835741864
515	-0.872460272
516	-1.270083258
517	-0.368108289
518	0.101649245
519	-0.692342338
520	-0.256287341
521	0.918875589
522	-1.627464161
523	-1.308341801
524	-1.946799206
525	-1.442390962
526	-1.084226083
527	-2.10657955
528	-1.621150699
529	-0.64323843
530	-0.743391816
531	-0.664195967
532	0.100460865
533	-0.080566738
534	2.056126328
535	-0.39244508
536	-0.179280453
537	-0.709952794
538	-1.139021145
539	-1.077264689
540	-0.636494237
541	0.254238335
542	0.388123882
543	-0.124249272
544	-0.103420604
545	-0.758806688
546	-0.682713318
547	-0.295263627
548	-1.143892518
549	-1.833013209
550	-0.580868466
551	-0.082181302
552	-0.099227339
553	-0.423498072
554	0.509291412
555	0.164581686
556	0.836066492
557	1.299550787
558	-1.013340221
559	-0.779730355
560	-0.858972947
561	-0.607219071
562	-0.732263345
563	1.468407822
564	0.736360095
565	-0.221828096
566	-0.473703789
567	-0.83028229
568	-0.570367777
569	-0.069311094
570	-0.20262042
571	-1.539214441
572	-0.914095525
573	-0.230299371
574	-0.109492601
575	-0.181388024
576	-0.253755931
577	-0.247222858
578	1.479736557
579	0.23092211
580	-0.354921701
581	0.107204856
582	-0.376300251
583	-0.414476291
584	0.260632799
585	0.858902205
586	1.569184068
587	-0.083523687
588	0.964359119
589	0.213385528
590	-0.562957997
591	-0.268267569
592	-0.752364367
593	-1.726314845
594	-0.706616321
595	0.27730605
596	-0.292626943
597	0.148810407
598	0.81892028
599	0.033717886
600	1.370505367
601	-0.160922081
602	-0.347259354
603	1.008137521
604	-0.98866211
605	0.208232006
606	0.181801104
607	-0.274305491
608	1.226373985
609	0.253237092
610	0.311737826
611	0.214176367
612	-0.183216975
613	-0.598356386
614	-0.126129121
615	-1.466227757
616	-0.149337525
617	0.51319087
618	-0.38827803
619	1.351160887
620	0.085002014
621	-0.498860683
622	0.824908005
623	-0.094404164
624	-0.572401145
625	1.019098231
626	-0.27538305
627	0.431076662
628	1.099624196
629	1.631088207
630	2.424724879
631	0.283976196
632	0.165142489
633	0.227608444
634	-0.891979286
635	-0.291549032
636	-1.368907977
637	-1.44208826
638	1.088952181
639	0.07200924
640	0.106731602
641	0.656273271
642	-0.109478789
643	-0.276534168
644	0.899327423
645	-0.020708815
646	0.250544345
647	1.65554973
648	-1.201723209
649	-0.101640428
650	0.560307549
651	2.592566871
652	1.839119564
653	-0.106577666
654	-0.223032981
655	-0.060142405
656	-1.546688475
657	-0.800557991
658	-0.482070893
659	-0.394804792
660	-0.124379866
661	-0.494909349
662	1.777089758
663	0.436212989
664	1.432495404
665	-0.408222256
666	0.034074315
667	0.034597136
668	0.666943079
669	1.311003554
670	-0.627629428
671	0.339971821
672	0.937088289
673	0.508959978
674	1.315395445
675	-0.393394286
676	-0.346722874
677	-0.835419393
678	-1.340881422
679	-0.413364412
680	-0.592874975
681	-3.622913325
682	-0.03083849
683	-0.213664154
684	0.726187226
685	0.662757848
686	3.363472241
687	-0.743053305
688	2.891235017
689	0.033688406
690	-0.243916543
691	0.257360083
692	0.191465566
693	-0.200556738
694	1.258297101
695	-0.64848623
696	1.024969241
697	-0.283879825
698	-0.796061542
699	-0.9483699
700	-1.039283868
701	-0.837902951
702	-0.87400736
703	-1.780681969
704	0.861530755
705	0.456997489
706	0.425175538
707	0.53650973
708	2.151711754
709	-0.636550371
710	-0.101809144
